"IL","ToplamSandik","ToplamSecmen","KullanilanOy","GecerliOy","Turnout","GecerliOy.Orani","Oy.SP","Parti.Oran.SP","Oy.BTP","Parti.Oran.BTP","Oy.TKP","Parti.Oran.TKP","Oy.VP","Parti.Oran.VP","Oy.CHP","Parti.Oran.CHP","Oy.MHP","Parti.Oran.MHP","Oy.DSP","Parti.Oran.DSP","Oy.Bagimsiz","Parti.Oran.Bagimsiz","Oy.AKP","Parti.Oran.AKP","Oy.IYI","Parti.Oran.IYI","Oy.HDP","Parti.Oran.HDP","Oy.DP","Parti.Oran.DP","Oy.BBP","Parti.Oran.BBP"
"Siirt",268,87793,72680,68705,0.827856435023293,0.945308200330215,1003,0.0145986463867259,59,0.000858743905101521,95,0.00138272323702787,0,0,1330,0.0193581253183902,0,0,242,0.00352230550906048,0,0,31611,0.460097518375664,1010,0.0147005312568226,33227,0.48361836838658,128,0.00186303762462703,0,0
"Sinop",113,36386,30520,29330,0.838784147749134,0.961009174311927,306,0.0104330037504262,57,0.00194340265939311,38,0.00129560177292874,43,0.00146607569041937,16609,0.566280259120355,0,0,59,0.00201159222638936,280,0.00954653937947494,11877,0.404943743607228,0,0,0,0,61,0.00207978179338561,0,0
"Sivas",699,229430,194541,189036,0.847931831059582,0.971702623097445,2806,0.0148437334687573,285,0.00150764933663429,117,0.00061892972767092,150,0.000793499650860154,14528,0.0768530861846421,8913,0.0471497492541103,53,0.000280369876637254,0,0,93284,0.493472142872257,0,0,0,0,0,0,68900,0.364480839628431
"Tekirdag",2360,750441,640044,621774,0.852890500385773,0.971455087462737,6181,0.00994091100624986,920,0.00147963729586634,1044,0.00167906667052659,1156,0.00185919642828423,318246,0.511835490065522,0,0,7009,0.0112725845725296,518,0.000833100129629094,272619,0.438453521697594,0,0,11708,0.0188299928913078,2373,0.00381649924249004,0,0
"Tokat",311,100477,85466,83152,0.850602625476477,0.972924905810498,1740,0.0209255339619011,80,0.000962093515489706,163,0.00196026553781028,0,0,0,0,23297,0.280173657879546,111,0.00133490475274197,0,0,40581,0.488033961901097,17012,0.204589186068886,0,0,168,0.00202039638252838,0,0
"Trabzon",2215,594912,497876,475451,0.836890161906299,0.954958664406398,15502,0.0326048320436806,2821,0.0059333138430669,950,0.00199810285392186,1335,0.00280786032630071,0,0,0,0,2117,0.0044526144650027,1391,0.002925643231374,307167,0.64605395719012,140421,0.295342737737432,0,0,3747,0.0078809383091002,0,0
"Tunceli",76,22771,18343,17967,0.805542136928549,0.979501717276345,43,0.00239327656258697,53,0.00294985250737463,5887,0.327656258696499,24,0.0013357822674904,3699,0.205877441976958,627,0.0348973117381867,39,0.0021706461846719,0,0,2526,0.140591083653365,0,0,5069,0.282128346412868,0,0,0,0
"Sanliurfa",3978,1095282,893936,848816,0.816169717022648,0.949526588033148,308510,0.36345921848787,6284,0.00740325347307308,2614,0.00307958379672391,3327,0.00391957738779665,0,0,0,0,7843,0.00923992950180015,4036,0.00475485853235566,516202,0.60814357882038,0,0,0,0,0,0,0,0
"Usak",474,155998,134324,130226,0.861062321311812,0.969491676841071,1605,0.0123247277809347,174,0.00133613871269946,123,0.000944511848632378,133,0.001021301429822,13528,0.103880945433324,14015,0.107620598037258,284,0.00218082410578533,0,0,50934,0.391120052831232,49172,0.37758972862562,0,0,258,0.0019811711946923,0,0
"Van",2281,654040,512563,483905,0.783687542046358,0.944088824203074,9081,0.0187660801190316,679,0.0014031679771856,728,0.00150442752193096,448,0.000925801551957512,9191,0.0189933974643783,0,0,1898,0.00392225746789142,0,0,196040,0.405120839834265,5345,0.0110455564625288,260495,0.538318471600831,0,0,0,0
"Yozgat",179,55679,47834,46083,0.859103072971857,0.963394238407827,243,0.00527309419959638,788,0.0170995811904607,155,0.00336349630015407,0,0,0,0,7214,0.156543627802009,62,0.00134539852006163,16988,0.368639194496886,18828,0.408567150576134,1641,0.0356096608293731,0,0,164,0.00355879608532431,0,0
"Zonguldak",242,75052,60763,59095,0.809612002345041,0.972549084146602,1147,0.0194094255013114,57,0.00096454860817328,141,0.00238598866232338,0,0,23152,0.391775953972417,8912,0.150808020983163,417,0.00705643455453084,0,0,25125,0.425162873339538,0,0,0,0,144,0.00243675437854302,0,0
"Aksaray",433,141003,115437,111812,0.818684708835982,0.968597590027461,690,0.0061710728723214,228,0.00203913712302794,131,0.00117160948735377,53,0.000474009945265267,0,0,44015,0.393651844166995,194,0.00173505527134833,130,0.00116266590348084,45253,0.404724001001681,20373,0.182207634243194,0,0,268,0.00239688047794512,477,0.0042660895073874
"Bayburt",84,25034,19880,19315,0.794119996804346,0.971579476861167,569,0.0294589697126586,14,0.00072482526533782,17,0.000880144965053068,0,0,329,0.0170333937354388,10911,0.564897747864354,25,0.00129433083096039,26,0.00134610406419881,6905,0.357494175511261,519,0.0268703080507378,0,0,0,0,0,0
"Karaman",341,108660,93339,90701,0.859000552181115,0.971737430227451,2096,0.0231088962635473,92,0.00101432178256028,100,0.00110252367669596,0,0,14685,0.161905601922801,35893,0.39572882327648,67,0.000738690863386291,0,0,34842,0.384141299434405,2926,0.0322598427801237,0,0,0,0,0,0
"Kirikkale",409,136134,112123,108409,0.823622313308946,0.966875663334017,984,0.00907673717126807,71,0.000654927173943123,114,0.00105157320886642,97,0.000894759660175816,0,0,25445,0.234712985084264,303,0.00279497089725023,0,0,45569,0.420343329428368,34391,0.317233809001098,0,0,0,0,1435,0.0132369083747659
"Batman",736,246596,192059,181767,0.778840694901783,0.94641230038686,2712,0.0149202000363102,194,0.00106730044507529,185,0.00101778650690169,0,0,2575,0.0141664878663344,1180,0.00649182744942701,412,0.0022666380586135,730,0.00401613054074722,51902,0.285541379898441,1524,0.00838436019739557,120014,0.660262863996215,339,0.00186502500453878,0,0
"Sirnak",119,38476,33197,31946,0.862797588106872,0.962315871916137,270,0.00845176234896388,44,0.00137732423464597,54,0.00169035246979278,0,0,599,0.0187503912852939,0,0,67,0.00209728917548363,0,0,19718,0.61722907406248,0,0,11194,0.350403806423339,0,0,0,0
"Bartin",154,50817,40783,39221,0.802546391955448,0.961699727827771,1053,0.0268478621146835,55,0.00140230998699676,62,0.00158078580352362,0,0,9977,0.254379031641213,14024,0.357563550138956,97,0.00247316488615793,32,0.000815889446979934,13855,0.353254633997093,0,0,0,0,66,0.00168277198439611,0,0
"Ardahan",45,13454,10976,10445,0.815816857440167,0.951621720116618,30,0.00287218764959311,9,0.000861656294877932,17,0.00162757300143609,21,0.00201053135471517,5348,0.512015318334131,0,0,12,0.00114887505983724,0,0,4501,0.430923887027286,507,0.0485399712781235,0,0,0,0,0,0
"Igdir",170,56116,46174,44368,0.822831278066862,0.960887079308702,206,0.00464298593580959,54,0.00121709340064912,76,0.00171294626758024,0,0,1014,0.022854309412189,20713,0.466845474215651,78,0.00175802380093761,0,0,0,0,0,0,22227,0.500969166967184,0,0,0,0
"Yalova",245,82964,65048,62726,0.784050913649294,0.964303283728939,935,0.0149060995440487,88,0.00140292701591047,65,0.00103625290947932,222,0.00353920224468323,28796,0.459075981251793,0,0,194,0.00309281637598444,0,0,28183,0.449303319197781,0,0,560,0.0089277173739757,3683,0.0587156840863438,0,0
"Karabük",244,79727,66527,63848,0.834435009469816,0.959730635681753,893,0.0139863425635885,134,0.00209873449442426,89,0.00139393559704298,0,0,0,0,25429,0.398274025811302,192,0.00300714196216013,0,0,24874,0.389581506076933,11550,0.180898383661195,0,0,0,0,687,0.0107599298333542
"Kilis",213,62657,51676,49802,0.824744242462933,0.963735583249478,1048,0.0210433315931087,254,0.00510019677924581,165,0.00331311995502189,0,0,0,0,16224,0.325770049395607,170,0.00341351752941649,0,0,23538,0.472631621220031,8403,0.168728163527569,0,0,0,0,0,0
"Osmaniye",452,150217,119922,113490,0.798325089703562,0.946365137339271,2010,0.0177108115252445,3112,0.0274209181425676,210,0.00185038329368226,0,0,0,0,61788,0.544435633095427,326,0.00287249977971627,19195,0.169133844391576,0,0,22344,0.196880782447793,4125,0.0363468146973302,380,0.00334831262666314,0,0
"Düzce",354,114146,97505,93973,0.85421302542358,0.963776216604277,862,0.00917284752003235,162,0.00172389941791791,110,0.00117054898747513,182,0.00193672650654975,0,0,20443,0.217541208645036,226,0.0024049461015398,437,0.00465027188660573,44299,0.471401359965096,26280,0.279654794462239,0,0,469,0.00499079522841667,503,0.0053526012790908
