Il,Ilce,ToplamSandik,ToplamSecmen,KullanilanOy,GecerliOy,Parti,Oy,Turnout,GecerliOy.Orani,Parti.Oran
ADIYAMAN,Besni,70,21842,18496,17689,BTP,39,0.8468089,0.956368945,0.00220476
ADIYAMAN,Besni,70,21842,18496,17689,CHP,3899,0.8468089,0.956368945,0.22041947
ADIYAMAN,Besni,70,21842,18496,17689,AKP,7958,0.8468089,0.956368945,0.449884109
ADIYAMAN,Besni,70,21842,18496,17689,MHP,186,0.8468089,0.956368945,0.010515009
ADIYAMAN,Besni,70,21842,18496,17689,Bagimsiz,62,0.8468089,0.956368945,0.003505003
ADIYAMAN,Çelikhan,21,5780,5342,5043,SP,1409,0.924221453,0.944028454,0.279397184
ADIYAMAN,Çelikhan,21,5780,5342,5043,BTP,4,0.924221453,0.944028454,0.000793179
ADIYAMAN,Çelikhan,21,5780,5342,5043,AKP,2355,0.924221453,0.944028454,0.466983938
ADIYAMAN,Çelikhan,21,5780,5342,5043,MHP,1275,0.924221453,0.944028454,0.252825699
ADIYAMAN,Gerger,8,2248,1890,1771,SP,838,0.840747331,0.937037037,0.473178995
ADIYAMAN,Gerger,8,2248,1890,1771,BTP,4,0.840747331,0.937037037,0.002258611
